src_row,output_variable_name,transformation_code,flow_type,eligibility_flag,eligibility_basis,difference_variable,matched_res,matched_strategy,matched_transformer_code,code_swap_check,confidence,match_basis,notes
2,cb:inen:technical_cost:fuel_switch:lo_heat,TX:INEN:SHIFT_FUEL_HEAT,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_inen_total,3017,"INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity",TFR:INEN:SHIFT_FUEL_HEAT,TRUE,high,"inen + fuel switch heat",""
3,cb:inen:technical_savings:fuel_switch:lo_heat,TX:INEN:SHIFT_FUEL_HEAT,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",energy_consumption_inen_total,3017,"INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity",TFR:INEN:SHIFT_FUEL_HEAT,TRUE,high,"inen + fuel switch heat","savings half of same transformation"
4,cb:inen:technical_cost:fuel_switch:hi_heat,TX:INEN:SHIFT_FUEL_HEAT,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_inen_total,3017,"INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity",TFR:INEN:SHIFT_FUEL_HEAT,TRUE,high,"inen + fuel switch heat","hi-temp variant"
5,cb:inen:technical_savings:fuel_switch:hi_heat,TX:INEN:SHIFT_FUEL_HEAT,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",energy_consumption_inen_total,3017,"INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity",TFR:INEN:SHIFT_FUEL_HEAT,TRUE,high,"inen + fuel switch heat","hi-temp savings"
6,cb:inen:technical_cost:fuel_switch:all,TX:INEN:SHIFT_FUEL_HEAT,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_inen_total,3017,"INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity",TFR:INEN:SHIFT_FUEL_HEAT,TRUE,high,"inen + fuel switch heat","combined variant"
7,cb:inen:technical_savings:fuel_switch:all,TX:INEN:SHIFT_FUEL_HEAT,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",energy_consumption_inen_total,3017,"INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity",TFR:INEN:SHIFT_FUEL_HEAT,TRUE,high,"inen + fuel switch heat","combined savings"
8,cb:inen:technical_cost:efficiency:X,TX:INEN:INC_EFFICIENCY_ENERGY,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_inen_total,3019,"INEN: Maximize industrial energy efficiency",TFR:INEN:INC_EFFICIENCY_ENERGY,TRUE,high,"inen + energy efficiency",""
9,cb:trns:technical_cost:electrification:LDV,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,technical_cost,keep,"cat1: real market flow (technical_cost)",vehicle_distance_traveled_trns_road_light_electricity,3035,"TRNS: Electrify light duty road transport",TFR:TRNS:SHIFT_FUEL_LIGHT_DUTY,TRUE,high,"trns + light duty",""
10,cb:trns:technical_savings:electrification:LDV,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",vehicle_distance_traveled_trns_road_light_electricity,3035,"TRNS: Electrify light duty road transport",TFR:TRNS:SHIFT_FUEL_LIGHT_DUTY,TRUE,high,"trns + light duty","savings half"
11,cb:trns:technical_cost:electrification:rail,TX:TRNS:SHIFT_FUEL_RAIL,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_trns_rail_*_electricity,,,,FALSE,none,"","No TRNS rail strategy in crosswalk"
12,cb:trns:technical_savings:electrification:rail,TX:TRNS:SHIFT_FUEL_RAIL,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",energy_consumption_trns_rail_*_electricity,,,,FALSE,none,"","No TRNS rail strategy in crosswalk"
13,cb:trns:technical_cost:fuel_switch:maritime,TX:TRNS:SHIFT_FUEL_MARITIME,technical_cost,keep,"cat1: real market flow (technical_cost)",mass_distance_traveled_trns_mt_km_water_borne,3041,"TRNS: Fuel switch maritime",TFR:TRNS:SHIFT_FUEL_MARITIME,TRUE,high,"trns + maritime",""
14,cb:trns:technical_cost:electrification:hdv_vehicles,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,technical_cost,keep,"cat1: real market flow (technical_cost)",vehicle_distance_traveled_trns_road_heavy_*_electricity|vehicle_distance_traveled_trns_public*electricity,3043,"TRNS: Fuel switch medium duty road transport",TFR:TRNS:SHIFT_FUEL_MEDIUM_DUTY,TRUE,high,"trns + heavy/medium duty","'medium duty' strategy covers heavy-duty vehicle cost lines"
15,cb:trns:technical_savings:electrification:hdv_vehicles,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",vehicle_distance_traveled_trns_road_heavy_*_electricity|vehicle_distance_traveled_trns_public*electricity,3043,"TRNS: Fuel switch medium duty road transport",TFR:TRNS:SHIFT_FUEL_MEDIUM_DUTY,TRUE,high,"trns + heavy/medium duty","savings half"
16,cb:trns:technical_cost:electrification:hdv_charger,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_trns_road_heavy_*_electricity|energy_consumption_trns_public*electricity,3043,"TRNS: Fuel switch medium duty road transport",TFR:TRNS:SHIFT_FUEL_MEDIUM_DUTY,TRUE,high,"trns + heavy/medium duty","charger infrastructure cost line"
17,cb:trns:technical_cost:efficiency:electric,TX:TRNS:INC_EFFICIENCY_ELECTRIC,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_trns_total,,,,FALSE,none,"","No TRNS efficiency strategy in crosswalk"
18,cb:trns:technical_cost:efficiency:non_electric,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_trns_total,,,,FALSE,none,"","No TRNS efficiency strategy in crosswalk"
19,cb:trns:technical_cost:efficiency:all,TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_trns_total,,,,FALSE,none,"","No TRNS efficiency strategy in crosswalk"
20,cb:scoe:technical_cost:efficiency:appliance,TX:SCOE:INC_EFFICIENCY_APPLIANCE,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_scoe_total,3025,"SCOE: Increase appliance efficiency",TFR:SCOE:INC_EFFICIENCY_APPLIANCE,TRUE,high,"scoe + appliance efficiency",""
21,cb:scoe:technical_cost:fuel_switch:heat_pumps,TX:SCOE:SHIFT_FUEL_HEAT,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_scoe_total,3029,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",TFR:SCOE:SHIFT_FUEL_HEAT,TRUE,high,"scoe + heat pumps / electrify heat",""
22,cb:scoe:technical_savings:fuel_switch:heat_pumps,TX:SCOE:SHIFT_FUEL_HEAT,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",energy_consumption_scoe_total,3029,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",TFR:SCOE:SHIFT_FUEL_HEAT,TRUE,high,"scoe + heat pumps / electrify heat","savings half"
23,cb:scoe:technical_cost:efficiency:building_shell,TX:SCOE:DEC_DEMAND_HEAT,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_scoe_total,3027,"SCOE: Reduce end-use demand for heat energy by improving building shell",TFR:SCOE:DEC_DEMAND_HEAT,TRUE,high,"scoe + building shell / reduce heat demand",""
24,cb:entc:technical_cost:loss_reduction:electricity,TX:ENTC:DEC_LOSSES,technical_cost,keep,"cat1: real market flow (technical_cost)",energy_consumption_inen_total,3005,"ENTC: Reduce transmission losses",TFR:ENTC:DEC_LOSSES,TRUE,high,"entc + transmission losses",""
25,cb:ippu:technical_savings:clinker:X,TX:IPPU:DEC_CLINKER,technical_savings,decide,"cat3: avoided clinker production - real marketed output change (likely negative demand)",prod_ippu_cement_tonne,4002,"IPPU: Reduce cement clinker",TFR:IPPU:DEC_CLINKER,TRUE,high,"ippu + clinker",""
26,cb:ippu:technical_cost:abating_N2O_and_F_Gases:X,TX:IPPU:BUNDLE_DEC_FGAS,technical_cost,keep,"cat1: real market flow (technical_cost)",emission_co2e_hfcs_ippu_production_electronics,4003,"IPPU: Reduce fluorinated gasses bundle",TFR:IPPU:DEC_PFCS,FALSE,high,"ippu + F-gas bundle (semantic)","MEANING match: code swap TFR:IPPU:BUNDLE_DEC_FGAS is absent from crosswalk; matched to the 'bundle' strategy 4003. NB crosswalk labels 4003 as TFR:IPPU:DEC_PFCS (collides with 4007) - a defect the semantic match resolves"
27,cb:ippu:technical_cost:abating_gases:n2o,TX:IPPU:DEC_N2O,technical_cost,keep,"cat1: real market flow (technical_cost)",emission_co2e_n2o_ippu*,4004,"IPPU: Reduce Nitrous Oxide emissions",TFR:IPPU:DEC_N2O,TRUE,high,"ippu + n2o",""
28,cb:ippu:technical_cost:abating_gases:hfcs,TX:IPPU:DEC_HFCS,technical_cost,keep,"cat1: real market flow (technical_cost)",emission_co2e_hfcs_ippu_*,4006,"IPPU: Reduce use of HFCs",TFR:IPPU:DEC_HFCS,TRUE,high,"ippu + hfcs",""
29,cb:ippu:technical_cost:abating_gases:pfcs,TX:IPPU:DEC_PFCS,technical_cost,keep,"cat1: real market flow (technical_cost)",emission_co2e_pfcs_ippu_*,4007,"IPPU: Reduce use of PFCs",TFR:IPPU:DEC_PFCS,TRUE,high,"ippu + pfcs","Crosswalk has TWO rows coded TFR:IPPU:DEC_PFCS (4003 bundle + 4007 PFCs); assigned to 4007 by meaning"
30,cb:ippu:technical_cost:abating_gases:other_fgases,TX:IPPU:DEC_OTHER_FCS,technical_cost,keep,"cat1: real market flow (technical_cost)",emission_co2e_other_fcs_ippu_*,4005,"IPPU: Reduce other fluorinated compounds",TFR:IPPU:DEC_OTHER_FCS,TRUE,high,"ippu + other f-compounds",""
31,cb:fgtv:technical_cost:flaring:X,TX:FGTV:INC_FLARE,technical_cost,keep,"cat1: real market flow (technical_cost)",emission_co2e_subsector_total_fgtv,3009,"FGTV: Maximize flaring",TFR:FGTV:INC_FLARE,TRUE,high,"fgtv + flaring",""
32,cb:fgtv:technical_cost:leaks:X,TX:FGTV:DEC_LEAKS,technical_cost,keep,"cat1: real market flow (technical_cost)",emission_co2e_subsector_total_fgtv,3011,"FGTV: Minimize leaks",TFR:FGTV:DEC_LEAKS,TRUE,high,"fgtv + leaks",""
33,cb:waso:technical_cost:consumer_food_waste:X,TX:WASO:DEC_CONSUMER_FOOD_WASTE,technical_cost,keep,"cat1: real market flow (technical_cost)",qty_waso_total_food_produced_tonne,,,,FALSE,none,"","No WASO consumer food waste strategy in crosswalk"
34,cb:waso:consumer_savings:consumer_food_waste:X,TX:WASO:DEC_CONSUMER_FOOD_WASTE,consumer_savings,decide,"cat3: consumer_savings - real marketed production change?",qty_waso_total_food_produced_tonne,,,,FALSE,none,"","No WASO consumer food waste strategy in crosswalk"
35,cb:ccsq:technical_cost:direct_air_capture:X,TX:CCSQ:INC_CAPTURE,technical_cost,keep,"cat1: real market flow (technical_cost)",emission_co2e_subsector_total_ccsq,3001,"CCSQ: Increase direct air capture",TFR:CCSQ:INC_CAPTURE,TRUE,high,"ccsq + direct air capture",""
36,cb:lvst:technical_cost:ent_ferm_mgmt:X,TX:LVST:DEC_ENTERIC_FERMENTATION,technical_cost,keep,"cat1: real market flow (technical_cost)",pop_lvst_buffalo,1026,"LVST: Reduce enteric fermentation",TFR:LVST:DEC_ENTERIC_FERMENTATION,TRUE,high,"lvst + enteric fermentation",""
37,cb:agrc:technical_cost:rice_mgmt:X,TX:AGRC:DEC_CH4_RICE,technical_cost,keep,"cat1: real market flow (technical_cost)",area_agrc_crops_rice,1007,"AGRC: Improve rice management",TFR:AGRC:DEC_CH4_RICE,TRUE,high,"agrc + rice management",""
38,cb:agrc:technical_cost:producer_food_waste:X,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,technical_cost,keep,"cat1: real market flow (technical_cost)",qty_agrc_total_food_produced_lost_tonne,,,,FALSE,none,"","No AGRC producer food waste / supply-chain-losses strategy in crosswalk"
39,cb:agrc:technical_savings:producer_food_waste:X,TX:AGRC:DEC_LOSSES_SUPPLY_CHAIN,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",qty_agrc_total_food_produced_lost_tonne,,,,FALSE,none,"","No AGRC producer food waste / supply-chain-losses strategy in crosswalk"
40,cb:agrc:technical_cost:increase_productivity:X,TX:AGRC:INC_PRODUCTIVITY,technical_cost,keep,"cat1: real market flow (technical_cost)",gdp_mmm_usd,1005,"AGRC: Improve crop productivity",TFR:AGRC:INC_PRODUCTIVITY,TRUE,high,"agrc + productivity",""
41,cb:lvst:technical_cost:increase_productivity:X,TX:LVST:INC_PRODUCTIVITY,technical_cost,keep,"cat1: real market flow (technical_cost)",gdp_mmm_usd,1024,"LVST: Increase livestock productivity",TFR:LVST:INC_PRODUCTIVITY,TRUE,high,"lvst + productivity",""
42,cb:pflo:human_health:better_diets:X,TX:PFLO:INC_HEALTHIER_DIETS,human_health,drop,"cat2: shadow-priced externality (human_health) - no market transaction",population_gnrl_urban,,,,FALSE,none,"","No PFLO (healthier diets) strategy in crosswalk"
43,cb:pflo:consumer_savings:better_diets:X,TX:PFLO:INC_HEALTHIER_DIETS,consumer_savings,decide,"cat3: consumer_savings - real marketed production change?",population_gnrl_urban,,,,FALSE,none,"","No PFLO (healthier diets) strategy in crosswalk"
44,cb:lndu:technical_cost:rehabilitate_forests:X,TX:LNDU:INC_LAND_REHABILITIATION,technical_cost,keep,"cat1: real market flow (technical_cost)",area_lndu_forests_secondary,1015,"LNDU: Rehabilitate degraded land",TFR:LNDU:INC_LAND_REHABILITIATION,TRUE,high,"lndu + rehabilitate degraded land","include flag is FALSE in source row"
45,cb:lndu:technical_cost:silvopasture:X,TX:LNDU:INC_SILVOPASTURE,technical_cost,keep,"cat1: real market flow (technical_cost)",area_lndu_forests_secondary,1011,"LNDU: Expand silvopasture",TFR:LNDU:INC_SILVOPASTURE,TRUE,high,"lndu + silvopasture",""
46,cb:lndu:technical_cost:all_secondary_forests:X,TX:LNDU:INC_REFORESTATION,technical_cost,keep,"cat1: real market flow (technical_cost)",area_lndu_forests_secondary,,,,FALSE,none,"","No LNDU reforestation strategy in crosswalk (distinct from silvopasture 1011 / rehabilitation 1015)"
47,cb:ippu:technical_cost:industrial_ccs:X,TX:PFLO:INC_IND_CCS,technical_cost,keep,"cat1: real market flow (technical_cost)",prod_ippu_cement_tonne,,,,FALSE,none,"","output_variable_name prefix is cb:ippu but transformation_code is TX:PFLO:INC_IND_CCS; no matching strategy in crosswalk"
48,cb:agrc:consumer_savings:cons_ag_land_value:X,TX:AGRC:INC_CONSERVATION_AGRICULTURE,consumer_savings,decide,"cat3: consumer_savings (land value) - real marketed production change?",area_lndu_improved_croplands,1004,"AGRC: Expand conservation agriculture",TFR:AGRC:INC_CONSERVATION_AGRICULTURE,TRUE,high,"agrc + conservation agriculture",""
49,cb:agrc:technical_savings:cons_ag:X,TX:AGRC:INC_CONSERVATION_AGRICULTURE,technical_savings,decide,"cat3: avoided cost - is it a real marketed flow?",area_lndu_improved_croplands,1004,"AGRC: Expand conservation agriculture",TFR:AGRC:INC_CONSERVATION_AGRICULTURE,TRUE,high,"agrc + conservation agriculture","savings half"
50,cb:lsmm:technical_cost:manure_management,TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,technical_cost,keep,"cat1: real market flow (technical_cost)",lvst_total_tlu,1016,"LSMM: Improve manure management for cattle and pigs",TFR:LSMM:INC_MANAGEMENT_CATTLE_PIGS,TRUE,high,"lsmm + manure management (cattle/pigs)","LSMM other/poultry/biogas strategies have no cost line here"
